"varresp_ini";"varresp_fim";"qt_sem_hist";"historico_ini";"historico_fim";"retorno_esp_modelo";"retorno_real"
"16/11/2015";"20/11/2015";8;"21/09/2015";"13/11/2015";1,22464308314396;-0,675793489833262
"16/11/2015";"20/11/2015";7;"28/09/2015";"13/11/2015";1,10018266322484;-0,74674345798211
"16/11/2015";"20/11/2015";6;"05/10/2015";"13/11/2015";1,28174514207313;-1,043858159865
"16/11/2015";"20/11/2015";5;"12/10/2015";"13/11/2015";0,449426655208341;-1,08318717916266
"16/11/2015";"20/11/2015";4;"19/10/2015";"13/11/2015";2,39780034630849;1,09841856771919
"16/11/2015";"20/11/2015";3;"26/10/2015";"13/11/2015";3,01063308161452;1,74896781962115
"16/11/2015";"20/11/2015";2;"02/11/2015";"13/11/2015";2,56137062276931;1,34850904607205
"23/11/2015";"27/11/2015";15;"10/08/2015";"20/11/2015";0,0732232932239226;-3,14693275609517
"23/11/2015";"27/11/2015";14;"17/08/2015";"20/11/2015";-0,0115721577093377;-3,40401944697437
"23/11/2015";"27/11/2015";13;"24/08/2015";"20/11/2015";0,59512876167487;-3,432409668466
"23/11/2015";"27/11/2015";12;"31/08/2015";"20/11/2015";0,896911319052061;-4,02300570632102
"23/11/2015";"27/11/2015";11;"07/09/2015";"20/11/2015";0,741449513226419;-4,83727384768597
"23/11/2015";"27/11/2015";10;"14/09/2015";"20/11/2015";0,0501330509645171;-4,866736335548
"23/11/2015";"27/11/2015";9;"21/09/2015";"20/11/2015";1,06235321515355;-3,77420635530193
"23/11/2015";"27/11/2015";8;"28/09/2015";"20/11/2015";0,831343627533685;-5,46251316261507
"23/11/2015";"27/11/2015";7;"05/10/2015";"20/11/2015";0,871732241386315;-5,16702274308153
"23/11/2015";"27/11/2015";6;"12/10/2015";"20/11/2015";-0,0894808093570175;-5,75066088347577
"23/11/2015";"27/11/2015";5;"19/10/2015";"20/11/2015";2,67656017436466;-9,01936840990344
"23/11/2015";"27/11/2015";4;"26/10/2015";"20/11/2015";2,65128637145213;-8,60311672202688
"23/11/2015";"27/11/2015";3;"02/11/2015";"20/11/2015";2,4501406224393;-7,79968579740333
"23/11/2015";"27/11/2015";2;"09/11/2015";"20/11/2015";1,36744299803091;-8,16470350216874
"30/11/2015";"04/12/2015";15;"17/08/2015";"27/11/2015";-0,0748037074085735;-2,08448274018545
